Activity Period,Activity Period Start Date,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,data_as_of,data_loaded_at
199907,7/1/99,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Low Fare,Terminal 1,B,31432,1/20/26 14:01,1/22/26 15:02
199907,7/1/99,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Low Fare,Terminal 1,B,31353,1/20/26 14:01,1/22/26 15:02
199907,7/1/99,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,2518,1/20/26 14:01,1/22/26 15:02
199907,7/1/99,Aeroflot Russian International Airlines,,Aeroflot Russian International Airlines,,International,Europe,Deplaned,Other,Terminal 2,D,1324,1/20/26 14:01,1/22/26 15:02
199907,7/1/99,Aeroflot Russian International Airlines,,Aeroflot Russian International Airlines,,International,Europe,Enplaned,Other,Terminal 2,D,1198,1/20/26 14:01,1/22/26 15:02
199907,7/1/99,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,Terminal 1,B,24124,1/20/26 14:01,1/22/26 15:02
199907,7/1/99,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,Terminal 1,B,23613,1/20/26 14:01,1/22/26 15:02
199907,7/1/99,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,Terminal 2,D,4983,1/20/26 14:01,1/22/26 15:02
199907,7/1/99,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,Terminal 2,D,4604,1/20/26 14:01,1/22/26 15:02
199907,7/1/99,Air Europe,PE,Air Europe,PE,International,Europe,Deplaned,Other,Terminal 2,D,205,1/20/26 14:01,1/22/26 15:02
199907,7/1/99,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,Terminal 2,D,10118,1/20/26 14:01,1/22/26 15:02
199907,7/1/99,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,Terminal 2,D,9093,1/20/26 14:01,1/22/26 15:02
199907,7/1/99,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 2,D,41433,1/20/26 14:01,1/22/26 15:02
199907,7/1/99,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 2,D,47409,1/20/26 14:01,1/22/26 15:02
199907,7/1/99,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Thru / Transit,Other,Terminal 2,D,4135,1/20/26 14:01,1/22/26 15:02
199907,7/1/99,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Deplaned,Other,Terminal 2,D,9595,1/20/26 14:01,1/22/26 15:02
