,Year,Date,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
0,1999,1999-07-01,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Low Fare,Terminal 1,B,31432
1,1999,1999-07-01,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Low Fare,Terminal 1,B,31353
2,1999,1999-07-01,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,2518
3,1999,1999-07-01,Aeroflot Russian International Airlines,,Aeroflot Russian International Airlines,,International,Europe,Deplaned,Other,Terminal 2,D,1324
4,1999,1999-07-01,Aeroflot Russian International Airlines,,Aeroflot Russian International Airlines,,International,Europe,Enplaned,Other,Terminal 2,D,1198
5,1999,1999-07-01,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,Terminal 1,B,24124
6,1999,1999-07-01,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,Terminal 1,B,23613
7,1999,1999-07-01,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,Terminal 2,D,4983
8,1999,1999-07-01,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,Terminal 2,D,4604
9,1999,1999-07-01,Air Europe,PE,Air Europe,PE,International,Europe,Deplaned,Other,Terminal 2,D,205
10,1999,1999-07-01,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,Terminal 2,D,10118
11,1999,1999-07-01,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,Terminal 2,D,9093
12,1999,1999-07-01,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 2,D,41433
13,1999,1999-07-01,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 2,D,47409
14,1999,1999-07-01,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Thru / Transit,Other,Terminal 2,D,4135
15,1999,1999-07-01,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Deplaned,Other,Terminal 2,D,9595
16,1999,1999-07-01,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Enplaned,Other,Terminal 2,D,10082
17,1999,1999-07-01,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Thru / Transit,Other,Terminal 2,D,277
18,1999,1999-07-01,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Other,Terminal 2,D,6266
19,1999,1999-07-01,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,Terminal 2,D,6765
20,1999,1999-07-01,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Thru / Transit,Other,Terminal 2,D,1056
21,1999,1999-07-01,Alitalia Airlines,AZ,Alitalia Airlines,AZ,International,Europe,Deplaned,Other,Terminal 2,D,4229
22,1999,1999-07-01,Alitalia Airlines,AZ,Alitalia Airlines,AZ,International,Europe,Enplaned,Other,Terminal 2,D,5624
23,1999,1999-07-01,"All Nippon Company Airways, Ltd.",NH,"All Nippon Company Airways, Ltd.",NH,International,Asia,Deplaned,Other,Terminal 2,D,4506
24,1999,1999-07-01,"All Nippon Company Airways, Ltd.",NH,"All Nippon Company Airways, Ltd.",NH,International,Asia,Enplaned,Other,Terminal 2,D,3282
25,1999,1999-07-01,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,124057
26,1999,1999-07-01,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,119356
27,1999,1999-07-01,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,Terminal 2,D,4702
28,1999,1999-07-01,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,Terminal 2,D,4146
29,1999,1999-07-01,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,Terminal 2,D,24606
30,1999,1999-07-01,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,Terminal 2,D,21161
31,1999,1999-07-01,Canadian Airlines,CP,Canadian Airlines,CP,International,Canada,Deplaned,Other,Terminal 3,E,5236
32,1999,1999-07-01,Canadian Airlines,CP,Canadian Airlines,CP,International,Canada,Enplaned,Other,Terminal 3,E,5699
33,1999,1999-07-01,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,Terminal 2,D,6432
34,1999,1999-07-01,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,Terminal 2,D,5759
35,1999,1999-07-01,Champion Air,MG,Champion Air,MG,Domestic,US,Deplaned,Other,Terminal 1,A,1503
36,1999,1999-07-01,Champion Air,MG,Champion Air,MG,Domestic,US,Enplaned,Other,Terminal 1,A,1442
37,1999,1999-07-01,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,Terminal 2,D,9823
38,1999,1999-07-01,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,Terminal 2,D,7594
39,1999,1999-07-01,"China Eastern Airlines, Inc",,"China Eastern Airlines, Inc",,International,Asia,Deplaned,Other,Terminal 2,D,1794
